,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,timestamp
0,-0.259023193121,3.119145683353,3.82259457446,-9.291341350963,61220.255034545815,32302227208.51,1208683494317.025,19743196,19743196,2024-08-21T23:10:00.000Z
1,-0.366594987986,-1.457214684638,4.719244185206,-8.518945524146,60328.14448820949,28046679917.98,1191099459112.6829,19743678,19743678,2024-08-22T23:10:00.000Z
2,-0.392218558079,6.412007604772,9.026376495802,-1.725948870308,64196.38970061103,41649195150.41,1267504945206.2307,19744178,19744178,2024-08-23T23:10:00.000Z
3,0.416368960396,-0.385212731076,7.679102822318,-2.732525809652,63949.0970345932,22257698147.74,1262655480422.5442,19744696,19744696,2024-08-24T23:10:00.000Z
4,0.251678807792,1.10111831097,8.943553924242,-4.825127749402,64653.25225174082,17504588442.98,1276585706874.8748,19745112,19745112,2024-08-25T23:10:00.000Z
5,-0.29789723258,-2.57030618447,6.52382421107,-7.942214953823,62991.46571065324,28687535327.35,1243797734223.8406,19745496,19745496,2024-08-26T23:10:00.000Z
6,-0.313497671885,-5.839408080239,-0.09319613403,-12.786237207264,59313.136972084234,37998867409.38,1171194592872.7485,19745956,19745956,2024-08-27T23:10:00.000Z
7,-0.110645236591,-0.294528015013,-3.400527923728,-11.791833895162,59138.44316711864,41268293095.19,1167775966953.7585,19746478,19746478,2024-08-28T23:10:00.000Z
8,0.707768850495,0.282140759518,-1.695473442867,-10.43800068326,59305.296819837524,32172830370.03,1171095350634.5718,19746893,19746893,2024-08-29T23:10:00.000Z
9,-0.015426592619,-0.166698725262,-7.772951217127,-8.599242816471,59206.43564602585,32419605839.67,1169168134729.301,19747315,19747315,2024-08-30T23:10:00.000Z
10,-0.184065909692,-0.381731278842,-7.76972796008,-9.31177591119,58980.42616207772,12441584877.75,1164732716076.6597,19747784,19747784,2024-08-31T23:10:00.000Z
11,-1.190084397164,-2.430410049777,-10.991391843426,-6.497768126519,57546.959957233346,23728130032.37,1136449047268.3154,19748203,19748203,2024-09-01T23:10:00.000Z
12,0.32611887478,3.080334697499,-5.829149611104,-2.018426397731,59319.59893215199,27625537883.82,1171487929411.3367,19748750,19748750,2024-09-02T23:10:00.000Z
13,-0.435622524593,-2.664565841061,-2.653961483902,-1.398626682499,57738.989161951285,26443778357.45,1140299364408.1108,19749209,19749209,2024-09-03T23:10:00.000Z
14,-0.01418963692,0.765285008924,-1.619227909164,5.928146824761,58180.85699031185,35924588154.15,1149051911343.8542,19749656,19749656,2024-09-04T23:10:00.000Z
15,0.111715374514,-3.556489795997,-5.385077291345,-0.519998699288,56111.66074822766,31036601358.32,1108214726536.502,19750168,19750168,2024-09-05T23:10:00.000Z
16,-0.107320162018,-4.397311345781,-9.394551895406,-3.063085652044,53644.2563238398,49093878897.27,1059508072854.3453,19750634,19750634,2024-09-06T23:10:00.000Z
17,-0.406884321659,0.345136149542,-8.733446759704,-13.887529103499,53829.40204456624,19120448774.83,1063189525916.6179,19751093,19751093,2024-09-07T23:10:00.000Z
18,0.643114268357,1.732168103095,-4.839772913173,-9.613115430036,54761.81777686893,17790299398.64,1081635710474.3154,19751640,19751640,2024-09-08T23:10:00.000Z
19,-0.583049738751,4.307644835304,-3.706762317483,-6.134057441425,57120.762392052704,34784060079.3,1128253925549.5789,19752081,19752081,2024-09-09T23:10:00.000Z
20,0.07330738484,0.868830437891,-0.211199055701,-2.12250696566,57617.04496207013,28936961746.38,1138081717720.0996,19752518,19752518,2024-09-10T23:10:00.000Z
21,0.128053186295,-0.230711207209,-1.197543391889,-2.999666790752,57484.11598207998,37156161229.54,1135475810186.0203,19752862,19752862,2024-09-11T23:10:00.000Z
22,0.329949063283,1.153660118079,3.627813768161,-3.966943377473,58147.28730239559,33755371619.24,1148602031363.444,19753321,19753321,2024-09-12T23:10:00.000Z
23,0.340666560846,4.076208366339,12.812621591551,2.630788157337,60517.491892214995,32065105483.42,1195446437185.9717,19753734,19753734,2024-09-13T23:10:00.000Z
24,0.04382573579,-0.772099589188,11.556573740521,4.236844043003,60050.23658592821,17038791725.11,1186241921506.043,19754159,19754159,2024-09-14T23:10:00.000Z
25,-0.820342618505,-1.805025549398,7.677788771258,0.144005485257,58966.314473078186,16191976658.15,1164857430047.7322,19754625,19754625,2024-09-15T23:10:00.000Z
26,0.348387948034,-1.476360239752,1.706904492286,-2.176894998489,58095.75925135042,33377438421.52,1147683699266.2422,19755034,19755034,2024-09-16T23:10:00.000Z
27,-0.266992345333,3.422386603401,4.281677015311,1.244199243617,60084.02073311247,38088139080.4,1186988729996.6094,19755481,19755481,2024-09-17T23:10:00.000Z
28,0.982682567348,1.338862694497,5.92223996459,2.967471623356,60888.46327206173,39510304571.2,1202908461764.2756,19755934,19755934,2024-09-18T23:10:00.000Z
29,0.173561533113,3.333123578151,8.204447561846,5.978737778447,62917.95099775676,43965117340.64,1243025915296.982,19756300,19756300,2024-09-19T23:10:00.000Z
30,-0.253855366881,0.314566494794,4.293598127331,3.096384938598,63115.86979080688,35339680676.85,1246964460489.524,19756750,19756750,2024-09-20T23:10:00.000Z
31,0.098029015936,0.159173957827,5.272414253208,4.787465875277,63216.33381877011,13944586492.15,1248975917250.524,19757171,19757171,2024-09-21T23:10:00.000Z
32,1.876828849512,0.755578179543,8.01757446125,-0.782609520477,63693.982643011805,19997279317.36,1258438830199.952,19757578,19757578,2024-09-22T23:10:00.000Z
33,0.105428776547,-0.624984005179,8.950991010175,-1.021424266567,63295.90543923157,31659344841.68,1250603664463.6094,19758050,19758050,2024-09-23T23:10:00.000Z
34,0.271765534192,1.836006963052,7.279808980725,-0.301964053654,64458.02267042241,29907938048.87,1273595001177.9492,19758518,19758518,2024-09-24T23:10:00.000Z
35,-0.451681344462,-2.007731453708,3.737022221437,0.2737084496,63163.878674830004,24983343780.56,1248051920542.0322,19758950,19758950,2024-09-25T23:10:00.000Z
36,-0.263871921632,2.936194623956,3.33854178926,9.619042937088,65018.49308476272,36781113169.96,1284722706204.9546,19759343,19759343,2024-09-26T23:10:00.000Z
37,0.063163101447,1.324520164527,4.378940438745,11.399070736735,65879.67613634221,32388499325.82,1301767314008.2869,19759771,19759771,2024-09-27T23:10:00.000Z
38,0.08751679204,-0.307151019979,3.892968908029,10.744452116394,65677.32603913039,15180571937.34,1297796638257.142,19760193,19760193,2024-09-28T23:10:00.000Z
39,-0.457919578864,-0.106208869192,3.004346990738,10.811553132624,65607.57089382852,14571883253.61,1296449426719.4087,19760668,19760668,2024-09-29T23:10:00.000Z
40,-0.254120839268,-3.10963221711,0.428955540386,7.777140432604,63567.41673245083,36332306473.12,1256163032302.885,19761115,19761115,2024-09-30T23:10:00.000Z
41,0.038952144197,-4.315766859086,-5.637820230802,5.694541072433,60823.99522793439,50460570953.41,1201978673384.4104,19761587,19761587,2024-10-01T23:10:00.000Z
42,0.39689295586,-0.047197359497,-3.749913425642,2.487692099507,60795.287908246406,41065084156.61,1201441951218.6772,19762090,19762090,2024-10-02T23:10:00.000Z
43,-0.018862285497,0.055317381578,-6.443666434503,5.35154694001,60828.918269640315,36217786368.23,1202134295434.007,19762546,19762546,2024-10-03T23:10:00.000Z
44,-0.303603970618,2.06360582868,-5.761243810476,6.708959929747,62084.18737257531,29718627884.43,1226975568873.6316,19763093,19763093,2024-10-04T23:10:00.000Z
45,0.039555935625,-0.158987521583,-5.621186184033,10.468092434307,61985.48126177674,13470385870.09,1225055265697.5505,19763584,19763584,2024-10-05T23:10:00.000Z
46,0.390203598525,1.159381493065,-4.425467052597,16.888803679896,62704.129459913056,14364090959.85,1239286922810.9001,19764040,19764040,2024-10-06T23:10:00.000Z
47,-1.149705151321,-0.296237445213,-1.650280029639,16.141688323043,62518.376348757956,33702951846.19,1235646950080.0806,19764540,19764540,2024-10-07T23:10:00.000Z
48,-0.364144613887,-0.641436203308,2.126406883263,13.431882597905,62117.36084913658,28676641338.47,1227754047515.805,19765071,19765071,2024-10-08T23:10:00.000Z
49,-0.142449634894,-2.311249677856,-0.186880209861,6.234004949242,60681.67354661797,27541521993.59,1199401130537.062,19765459,19765459,2024-10-09T23:10:00.000Z
50,0.269846831084,-0.837828182135,-1.077863792483,4.436569809968,60173.26538425308,30498702676.32,1189380611629.8347,19765931,19765931,2024-10-10T23:10:00.000Z
51,-0.478917834584,3.827801567607,0.632030834167,8.684942809921,62476.57857991214,30262021615.76,1234935231021.1965,19766371,19766371,2024-10-11T23:10:00.000Z
52,0.193687074356,1.357266734787,2.160298039114,8.903708729678,63324.55239801011,16854039963.86,1251725345454.7961,19766825,19766825,2024-10-12T23:10:00.000Z
53,-0.490230610999,-1.025260201502,-0.04595948571,3.565612197086,62675.310964494056,18115364869.68,1238918916714.761,19767256,19767256,2024-10-13T23:10:00.000Z
54,0.388402592315,5.62351638152,5.888654200576,10.240810207339,66199.86734375119,43219937978.26,1308619316290.6724,19767703,19767703,2024-10-14T23:10:00.000Z
55,0.364500961362,0.823837523214,7.45022933822,13.19216282666,66745.24669124706,48928749712.15,1319431917246.483,19768178,19768178,2024-10-15T23:10:00.000Z
56,0.131318285197,1.440765229164,11.577161670861,16.543599516036,67706.88899769416,38507092766.7,1338472301632.7087,19768628,19768628,2024-10-16T23:10:00.000Z
57,0.161335194278,-0.548952724453,11.902204003574,12.068415802257,67335.21018589885,32651444020.95,1331157109702.9446,19769109,19769109,2024-10-17T23:10:00.000Z
58,-0.017687529136,1.429037989889,9.316895182839,12.168138674908,68297.45592002664,36952564683.54,1350209081816.8357,19769537,19769537,2024-10-18T23:10:00.000Z
59,0.102310960078,0.018774462707,7.873290554146,8.570411650649,68310.27840041788,14399241299.98,1350498234282.6873,19770059,19770059,2024-10-19T23:10:00.000Z
60,0.233904978958,1.000672746837,10.081369646088,9.312984148574,68993.8407396596,18329632863.77,1364049834709.0364,19770603,19770603,2024-10-20T23:10:00.000Z
61,-0.394997776755,-2.078183150901,2.0546189548,6.871149092465,67560.02236624827,37889179385.57,1335738863286.293,19771143,19771143,2024-10-21T23:10:00.000Z
62,-0.064992647021,0.097895398782,1.319815075954,6.1735468774,67626.160519561,31930173406.32,1337076313309.984,19771584,19771584,2024-10-22T23:10:00.000Z
63,0.128066562985,-1.555303592304,-1.672681463876,5.179581449512,66574.36841566296,32207728023.58,1316312340202.2246,19772059,19772059,2024-10-23T23:10:00.000Z
64,-0.448205818252,2.375156088658,1.218386921804,5.73643242061,68155.61358057287,31466457817.52,1347606392432.582,19772493,19772493,2024-10-24T23:10:00.000Z
65,-1.742326637412,-3.058455583806,-3.259786881803,4.602671332894,66071.10441134052,38236201785.92,1306423947525.436,19773000,19773000,2024-10-25T23:10:00.000Z
66,-0.112055603937,1.453982257914,-1.871624422073,3.096462816667,67031.7665470893,22709095721.06,1325448815008.177,19773443,19773443,2024-10-26T23:10:00.000Z
67,0.147304978064,1.714651656581,-1.177949927591,3.493416849105,68181.12784262473,16383709624.11,1348209122005.6238,19773934,19773934,2024-10-27T23:10:00.000Z
68,-0.05859580782,2.764855824894,3.709612982994,6.682537114125,70066.23772726012,38447622775.2,1385522786016.811,19774471,19774471,2024-10-28T23:10:00.000Z
69,0.366164105089,3.60923595827,7.347649217674,10.650482230776,72595.0935739193,58317508553.66,1435564055289.201,19774946,19774946,2024-10-29T23:10:00.000Z
70,0.115020146831,-0.141295709245,8.889534436081,14.040374059388,72492.51982157667,40934934160.2,1433575318283.9507,19775493,19775493,2024-10-30T23:10:00.000Z
71,0.089892973384,-2.979897413481,3.193725950835,15.632517783286,70332.31709844635,40535511129.72,1390890144630.9475,19775975,19775975,2024-10-31T23:10:00.000Z
72,0.221674230447,-1.213916560559,5.157227312577,14.282773952188,69478.54145376332,50227090132.8,1374039734875.7751,19776462,19776462,2024-11-01T23:10:00.000Z
73,-0.360802452744,-0.297757032026,3.341546522085,13.879493802225,69271.6642108356,18199093084.03,1369979191561.26,19776906,19776906,2024-11-02T23:10:00.000Z
